,period_open,period_close,orders,longs_count,pnl,short_exposure,returns,ending_cash,starting_cash,long_exposure,portfolio_value,starting_exposure,gross_leverage,ending_exposure,net_leverage,shorts_count,starting_value,transactions,long_value,positions,short_value,capital_used,ending_value,alpha,beta,benchmark_period_return,benchmark_volatility,sortino,algorithm_period_return,period_label,excess_return,max_drawdown,algo_volatility,max_leverage,trading_days,treasury_period_return,sharpe,weights
2021-01-14 21:00:00+00:00,2021-01-14 14:31:00+00:00,2021-01-14 21:00:00+00:00,[],1,-36214.5700000003,0.0,-0.0035019027735225805,95.9933956439767,95.9933956439767,10305087.34,10305183.333395643,10341301.91,0.9999906849405258,10305087.34,0.9999906849405258,0,10341301.91,[],10305087.34,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 378.46}]",0.0,0.0,10305087.34,,,0.0,0.0,6.708497329431988,0.030518333339564663,2021-01,0.0,-0.013613865426177551,0.09143941252277837,0.9999907533503389,21,0.0,3.991508246480893,"[0, 1, 0, 0, 0]"
2021-01-15 21:00:00+00:00,2021-01-15 14:31:00+00:00,2021-01-15 21:00:00+00:00,[],1,-75152.04000000097,0.0,-0.007292644639951162,95.9933956439767,95.9933956439767,10229935.299999999,10230031.293395642,10305087.34,0.9999906165100683,10229935.299999999,0.9999906165100683,0,10305087.34,[],10229935.299999999,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 375.7}]",0.0,0.0,10229935.299999999,,,0.0,0.0,4.519306766190432,0.0230031293395645,2021-01,0.0,-0.014583089200618845,0.09401168748814966,0.9999907533503389,22,0.0,2.8172793570652352,"[0, 1, 0, 0, 0]"
2021-01-19 21:00:00+00:00,2021-01-19 14:31:00+00:00,2021-01-19 21:00:00+00:00,[],1,80325.55000000261,0.0,0.007851935902860818,95.9933956439767,95.9933956439767,10310260.850000001,10310356.843395645,10229935.299999999,0.9999906896146175,10310260.850000001,0.9999906896146175,0,10229935.299999999,[],10310260.850000001,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 378.65000000000003}]",0.0,0.0,10310260.850000001,,,0.0,0.0,5.920904915803291,0.031035684339564718,2021-01,0.0,-0.014583089200618845,0.09456863700454196,0.9999907533503389,23,0.0,3.588626988816482,"[0, 1, 0, 0, 0]"
2021-01-20 21:00:00+00:00,2021-01-20 14:31:00+00:00,2021-01-20 21:00:00+00:00,[],1,142679.95999999903,0.0,0.013838508420917828,95.9933956439767,95.9933956439767,10452940.81,10453036.803395644,10310260.850000001,0.999990816697822,10452940.81,0.999990816697822,0,10310260.850000001,[],10452940.81,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 383.89}]",0.0,0.0,10452940.81,,,0.0,0.0,8.385841731246419,0.045303680339564556,2021-01,0.0,-0.014583089200618845,0.10095971110394956,0.999990816697822,24,0.0,4.660625654836729,"[0, 1, 0, 0, 0]"
2021-01-21 21:00:00+00:00,2021-01-21 14:31:00+00:00,2021-01-21 21:00:00+00:00,[],1,9530.150000000373,0.0,0.0009117111303869052,95.9933956439767,95.9933956439767,10462470.96,10462566.953395644,10452940.81,0.9999908250627144,10462470.96,0.9999908250627144,0,10452940.81,[],10462470.96,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 384.24}]",0.0,0.0,10462470.96,,,0.0,0.0,8.383574919790286,0.046256695339564446,2021-01,0.0,-0.014583089200618845,0.09888055084071294,0.9999908250627144,25,0.0,4.661220504583405,"[0, 1, 0, 0, 0]"
2021-01-22 21:00:00+00:00,2021-01-22 14:31:00+00:00,2021-01-22 21:00:00+00:00,[],1,-37031.44000000134,0.0,-0.003539422033326467,95.9933956439767,95.9933956439767,10425439.52,10425535.513395643,10462470.96,0.9999907924733918,10425439.52,0.9999907924733918,0,10462470.96,[],10425439.52,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 382.88}]",0.0,0.0,10425439.52,,,0.0,0.0,7.430784472452938,0.04255355133956429,2021-01,0.0,-0.014583089200618845,0.09831377850145814,0.9999908250627144,26,0.0,4.158845393063789,"[0, 1, 0, 0, 0]"
2021-01-25 21:00:00+00:00,2021-01-25 14:31:00+00:00,2021-01-25 21:00:00+00:00,[],1,41115.79000000097,0.0,0.00394375808774261,95.9933956439767,95.9933956439767,10466555.31,10466651.303395644,10425439.52,0.9999908286430053,10466555.31,0.9999908286430053,0,10425439.52,[],10466555.31,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 384.39}]",0.0,0.0,10466555.31,,,0.0,0.0,7.973573499395442,0.04666513033956443,2021-01,0.0,-0.014583089200618845,0.0966650668817126,0.9999908286430053,27,0.0,4.453902814381166,"[0, 1, 0, 0, 0]"
2021-01-26 21:00:00+00:00,2021-01-26 14:31:00+00:00,2021-01-26 21:00:00+00:00,[],1,-16337.400000000373,0.0,-0.001560900380305874,95.9933956439767,95.9933956439767,10450217.91,10450313.903395643,10466555.31,0.9999908143050504,10450217.91,0.9999908143050504,0,10466555.31,[],10450217.91,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 383.79}]",0.0,0.0,10450217.91,,,0.0,0.0,7.535617298814129,0.04503139033956449,2021-01,0.0,-0.014583089200618845,0.09536380693866893,0.9999908286430053,28,0.0,4.206128175088656,"[0, 1, 0, 0, 0]"
2021-01-27 21:00:00+00:00,2021-01-27 14:31:00+00:00,2021-01-27 21:00:00+00:00,[],1,-255408.01999999955,0.0,-0.024440224701480773,95.9933956439767,95.9933956439767,10194809.89,10194905.883395644,10450217.91,0.9999905841803013,10194809.89,0.9999905841803013,0,10450217.91,[],10194809.89,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 374.41}]",0.0,0.0,10194809.89,,,0.0,0.0,1.9645719315570322,0.01949058833956463,2021-01,0.0,-0.025962976325755508,0.12107067900869986,0.9999908286430053,29,0.0,1.444642169212461,"[0, 1, 0, 0, 0]"
2021-01-28 21:00:00+00:00,2021-01-28 14:31:00+00:00,2021-01-28 21:00:00+00:00,[],1,87677.37999999896,0.0,0.008600116666383162,95.9933956439767,95.9933956439767,10282487.27,10282583.263395643,10194809.89,0.9999906644669745,10282487.27,0.9999906644669745,0,10194809.89,[],10282487.27,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 377.63}]",0.0,0.0,10282487.27,,,0.0,0.0,2.7568555189641764,0.0282583263395646,2021-01,0.0,-0.025962976325755508,0.121151578843831,0.9999908286430053,30,0.0,1.991840830360103,"[0, 1, 0, 0, 0]"
2021-01-29 21:00:00+00:00,2021-01-29 14:31:00+00:00,2021-01-29 21:00:00+00:00,[],1,-205851.24000000022,0.0,-0.0200194090071506,95.9933956439767,95.9933956439767,10076636.03,10076732.023395643,10282487.27,0.999990473757224,10076636.03,0.999990473757224,0,10282487.27,[],10076636.03,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 370.07}]",0.0,0.0,10076636.03,,,0.0,0.0,0.6852452086832995,0.0076732023395647,2021-01,0.0,-0.03725348907663509,0.1332873041402685,0.9999908286430053,31,0.0,0.5311225726830667,"[0, 1, 0, 0, 0]"
2021-02-01 21:00:00+00:00,2021-02-01 14:31:00+00:00,2021-02-01 21:00:00+00:00,[],1,167730.6400000006,0.0,0.01664534093102521,95.9933956439767,95.9933956439767,10244366.67,10244462.663395643,10076636.03,0.9999906297285863,10244366.67,0.9999906297285863,0,10076636.03,[],10244366.67,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 376.23}]",0.0,0.0,10244366.67,,,0.0,0.0,1.9635926171251588,0.024446266339564815,2021-02,0.0,-0.03725348907663509,0.13892913467747547,0.9999908286430053,32,0.0,1.4371478626857386,"[0, 1, 0, 0, 0]"
2021-02-02 21:00:00+00:00,2021-02-02 14:31:00+00:00,2021-02-02 21:00:00+00:00,[],1,144858.2800000012,0.0,0.014140154028535967,95.9933956439767,95.9933956439767,10389224.950000001,10389320.943395644,10244366.67,0.9999907603782608,10389224.950000001,0.9999907603782608,0,10244366.67,[],10389224.950000001,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 381.55}]",0.0,0.0,10389224.950000001,,,0.0,0.0,3.0120109757081184,0.03893209433956479,2021-02,0.0,-0.03725348907663509,0.14162863870345085,0.9999908286430053,33,0.0,2.1294472286563777,"[0, 1, 0, 0, 0]"
2021-02-03 21:00:00+00:00,2021-02-03 14:31:00+00:00,2021-02-03 21:00:00+00:00,[],1,8168.699999999255,0.0,0.0007862592795531143,95.9933956439767,95.9933956439767,10397393.65,10397489.643395644,10389224.950000001,0.9999907676372918,10397393.65,0.9999907676372918,0,10389224.950000001,[],10397393.65,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 381.85}]",0.0,0.0,10397393.65,,,0.0,0.0,3.0264617705029613,0.03974896433956476,2021-02,0.0,-0.03725348907663509,0.13947072063018845,0.9999908286430053,34,0.0,2.1405780693614966,"[0, 1, 0, 0, 0]"
2021-02-04 21:00:00+00:00,2021-02-04 14:31:00+00:00,2021-02-04 21:00:00+00:00,[],1,118173.8599999994,0.0,0.011365614590927997,95.9933956439767,95.9933956439767,10515567.51,10515663.503395643,10397393.65,0.9999908713895598,10515567.51,0.9999908713895598,0,10397393.65,[],10515567.51,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 386.19}]",0.0,0.0,10515567.51,,,0.0,0.0,3.824581762767126,0.05156635033956469,2021-02,0.0,-0.03725348907663509,0.14009370842422914,0.9999908713895598,35,0.0,2.654297992775287,"[0, 1, 0, 0, 0]"
2021-02-05 21:00:00+00:00,2021-02-05 14:31:00+00:00,2021-02-05 21:00:00+00:00,[],1,41388.08000000194,0.0,0.003935850551573639,95.9933956439767,95.9933956439767,10556955.590000002,10557051.583395645,10515567.51,0.99999090717755,10556955.590000002,0.99999090717755,0,10515567.51,[],10556955.590000002,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 387.71000000000004}]",0.0,0.0,10556955.590000002,,,0.0,0.0,4.058477054681666,0.05570515833956491,2021-02,0.0,-0.03725348907663509,0.13823120904426334,0.99999090717755,36,0.0,2.8146482005120115,"[0, 1, 0, 0, 0]"
2021-02-08 21:00:00+00:00,2021-02-08 14:31:00+00:00,2021-02-08 21:00:00+00:00,[],1,76241.19999999739,0.0,0.007221826984336266,95.9933956439767,95.9933956439767,10633196.79,10633292.783395642,10556955.590000002,0.9999909723735066,10633196.79,0.9999909723735066,0,10556955.590000002,[],10633196.79,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 390.51}]",0.0,0.0,10633196.79,,,0.0,0.0,4.523406834786379,0.06332927833956448,2021-02,0.0,-0.03725348907663509,0.1371009223711054,0.9999909723735066,37,0.0,3.1199152287544423,"[0, 1, 0, 0, 0]"
2021-02-09 21:00:00+00:00,2021-02-09 14:31:00+00:00,2021-02-09 21:00:00+00:00,[],1,-7079.539999999106,0.0,-0.0006657899997876138,95.9933956439767,95.9933956439767,10626117.25,10626213.243395643,10633196.79,0.9999909663589988,10626117.25,0.9999909663589988,0,10633196.79,[],10626117.25,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 390.25}]",0.0,0.0,10626117.25,,,0.0,0.0,4.415428057243515,0.06262132433956458,2021-02,0.0,-0.03725348907663509,0.13537237519610162,0.9999909723735066,38,0.0,3.0439860021390652,"[0, 1, 0, 0, 0]"
2021-02-10 21:00:00+00:00,2021-02-10 14:31:00+00:00,2021-02-10 21:00:00+00:00,[],1,-4628.929999999702,0.0,-0.00043561425824723,95.9933956439767,95.9933956439767,10621488.32,10621584.313395644,10626117.25,0.999990962422101,10621488.32,0.999990962422101,0,10626117.25,[],10621488.32,"[{'sid': Equity(2 [SPY]), 'amount': 27229, 'cost_basis': 367.25197424085917, 'last_sale_price': 390.08}]",0.0,0.0,10621488.32,,,0.0,0.0,4.327585038499669,0.06215843133956467,2021-02,0.0,-0.03725348907663509,0.13368296148649314,0.9999909723735066,39,0.0,2.982361653312701,"[0, 1, 0, 0, 0]"
