,period_open,period_close,pnl,long_value,positions,shorts_count,transactions,returns,ending_cash,starting_exposure,starting_value,orders,longs_count,long_exposure,portfolio_value,short_value,starting_cash,short_exposure,ending_exposure,ending_value,capital_used,gross_leverage,net_leverage,period_label,max_leverage,benchmark_period_return,benchmark_volatility,treasury_period_return,algorithm_period_return,trading_days,algo_volatility,sharpe,max_drawdown,alpha,beta,excess_return,sortino,weights
2022-05-23 20:00:00+00:00,2022-05-23 13:31:00+00:00,2022-05-23 20:00:00+00:00,198404.6400000006,10802574.72,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 396.92}]",0,[],0.018709945955663443,63.65055999870674,10604170.08,10604170.08,[],1,10802574.72,10802638.37056,0.0,63.65055999870674,0.0,10802574.72,10802574.72,0.0,0.9999941078690394,0.9999941078690394,2022-05,0.9999951043374614,0.0,0.0,0.0,0.08026383705599693,362,0.16772505125377488,0.40439038321923076,-0.18473460458809982,,,0.0,0.5501900693943167,"[0, 1, 0, 0, 0]"
2022-05-24 20:00:00+00:00,2022-05-24 13:31:00+00:00,2022-05-24 20:00:00+00:00,-82464.48000000045,10720110.24,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 393.89}]",0,[],-0.0076337351275903575,63.65055999870674,10802574.72,10802574.72,[],1,10720110.24,10720173.89056,0.0,63.65055999870674,0.0,10720110.24,10720110.24,0.0,0.9999940625440735,0.9999940625440735,2022-05,0.9999951043374614,0.0,0.0,0.0,0.07201738905599697,363,0.16762260762642758,0.3719074447586461,-0.18473460458809982,,,0.0,0.5057101055921706,"[0, 1, 0, 0, 0]"
2022-05-25 20:00:00+00:00,2022-05-25 13:31:00+00:00,2022-05-25 20:00:00+00:00,94711.6799999997,10814821.92,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 397.37}]",0,[],0.008834901463995903,63.65055999870674,10720110.24,10720110.24,[],1,10814821.92,10814885.570559999,0.0,63.65055999870674,0.0,10814821.92,10814821.92,0.0,0.9999941145415193,0.9999941145415193,2022-05,0.9999951043374614,0.0,0.0,0.0,0.08148855705599689,364,0.16754399430954658,0.40756639599466754,-0.18473460458809982,,,0.0,0.5547007856745049,"[0, 1, 0, 0, 0]"
2022-05-26 20:00:00+00:00,2022-05-26 13:31:00+00:00,2022-05-26 20:00:00+00:00,216095.04000000097,11030916.96,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 405.31}]",0,[],0.019981259957872366,63.65055999870674,10814821.92,10814821.92,[],1,11030916.96,11030980.61056,0.0,63.65055999870674,0.0,11030916.96,11030916.96,0.0,0.9999942298366531,0.9999942298366531,2022-05,0.9999951043374614,0.0,0.0,0.0,0.10309806105599706,365,0.16811333499512504,0.4871326820225466,-0.18473460458809982,,,0.0,0.6661571884407569,"[0, 1, 0, 0, 0]"
2022-05-27 20:00:00+00:00,2022-05-27 13:31:00+00:00,2022-05-27 20:00:00+00:00,270799.19999999925,11301716.16,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 415.26}]",0,[],0.024548968904973156,63.65055999870674,11030916.96,11030916.96,[],1,11301716.16,11301779.81056,0.0,63.65055999870674,0.0,11301716.16,11301716.16,0.0,0.9999943680941351,0.9999943680941351,2022-05,0.9999951043374614,0.0,0.0,0.0,0.13017798105599687,366,0.1690819048899847,0.582985600065996,-0.18473460458809982,,,0.0,0.802927546029143,"[0, 1, 0, 0, 0]"
2022-05-31 20:00:00+00:00,2022-05-31 13:31:00+00:00,2022-05-31 20:00:00+00:00,-63413.27999999933,11238302.88,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 412.93}]",0,[],-0.005610910941721614,63.65055999870674,11301716.16,11301716.16,[],1,11238302.88,11238366.53056,0.0,63.65055999870674,0.0,11238302.88,11238302.88,0.0,0.9999943363157069,0.9999943363157069,2022-05,0.9999951043374614,0.0,0.0,0.0,0.12383665305599689,367,0.1689239941446844,0.559133137095842,-0.18473460458809982,,,0.0,0.7698540106825461,"[0, 1, 0, 0, 0]"
2022-06-01 20:00:00+00:00,2022-06-01 13:31:00+00:00,2022-06-01 20:00:00+00:00,-90901.43999999948,11147401.440000001,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 409.59000000000003}]",0,[],-0.008088492197937835,63.65055999870674,11238302.88,11238302.88,[],1,11147401.440000001,11147465.09056,0.0,63.65055999870674,0.0,11147401.440000001,11147401.440000001,0.0,0.9999942901314799,0.9999942901314799,2022-06,0.9999951043374614,0.0,0.0,0.0,0.11474650905599693,368,0.1688390123689904,0.5250888548303821,-0.18473460458809982,,,0.0,0.7225221588797682,"[0, 1, 0, 0, 0]"
2022-06-02 20:00:00+00:00,2022-06-02 13:31:00+00:00,2022-06-02 20:00:00+00:00,212284.79999999888,11359686.24,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 417.39}]",0,[],0.01904332494207739,63.65055999870674,11147401.440000001,11147401.440000001,[],1,11359686.24,11359749.89056,0.0,63.65055999870674,0.0,11359686.24,11359686.24,0.0,0.9999943968343835,0.9999943968343835,2022-06,0.9999951043374614,0.0,0.0,0.0,0.1359749890559967,369,0.16931551775803433,0.5990025235524399,-0.18473460458809982,,,0.0,0.8276757981317358,"[0, 1, 0, 0, 0]"
2022-06-03 20:00:00+00:00,2022-06-03 13:31:00+00:00,2022-06-03 20:00:00+00:00,-186429.59999999963,11173256.64,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 410.54}]",0,[],-0.016411417662894556,63.65055999870674,11359686.24,11359686.24,[],1,11173256.64,11173320.29056,0.0,63.65055999870674,0.0,11173256.64,11173256.64,0.0,0.9999943033441856,0.9999943033441856,2022-06,0.9999951043374614,0.0,0.0,0.0,0.11733202905599671,370,0.16965435529664824,0.5303064983074087,-0.18473460458809982,,,0.0,0.7307529710859032,"[0, 1, 0, 0, 0]"
2022-06-06 20:00:00+00:00,2022-06-06 13:31:00+00:00,2022-06-06 20:00:00+00:00,34020.0,11207276.64,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 411.79}]",0,[],0.003044752957519936,63.65055999870674,11173256.64,11173256.64,[],1,11207276.64,11207340.29056,0.0,63.65055999870674,0.0,11207276.64,11207276.64,0.0,0.9999943206364446,0.9999943206364446,2022-06,0.9999951043374614,0.0,0.0,0.0,0.12073402905599662,371,0.16943941769462278,0.5417537364689976,-0.18473460458809982,,,0.0,0.7465881389967143,"[0, 1, 0, 0, 0]"
2022-06-07 20:00:00+00:00,2022-06-07 13:31:00+00:00,2022-06-07 20:00:00+00:00,107503.19999999925,11314779.84,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 415.74}]",0,[],0.009592213425566154,63.65055999870674,11207276.64,11207276.64,[],1,11314779.84,11314843.490559999,0.0,63.65055999870674,0.0,11314779.84,11314779.84,0.0,0.9999943745965154,0.9999943745965154,2022-06,0.9999951043374614,0.0,0.0,0.0,0.13148434905599649,372,0.1693812778102867,0.578845730165403,-0.18473460458809982,,,0.0,0.7985046959421634,"[0, 1, 0, 0, 0]"
2022-06-08 20:00:00+00:00,2022-06-08 13:31:00+00:00,2022-06-08 20:00:00+00:00,-123016.31999999844,11191763.520000001,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 411.22}]",0,[],-0.010872118567316513,63.65055999870674,11314779.84,11314779.84,[],1,11191763.520000001,11191827.17056,0.0,63.65055999870674,0.0,11191763.520000001,11191763.520000001,0.0,0.9999943127642137,0.9999943127642137,2022-06,0.9999951043374614,0.0,0.0,0.0,0.1191827170559967,373,0.16940652220215577,0.5338491874932441,-0.18473460458809982,,,0.0,0.735581258687521,"[0, 1, 0, 0, 0]"
2022-06-09 20:00:00+00:00,2022-06-09 13:31:00+00:00,2022-06-09 20:00:00+00:00,-266172.4800000023,10925591.04,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 401.44}]",0,[],-0.023782754678357332,63.65055999870674,11191763.520000001,11191763.520000001,[],1,10925591.04,10925654.690559998,0.0,63.65055999870674,0.0,10925591.04,10925591.04,0.0,0.9999941742109006,0.9999941742109006,2022-06,0.9999951043374614,0.0,0.0,0.0,0.0925654690559965,374,0.17033593608591005,0.43543940612411325,-0.18473460458809982,,,0.0,0.5965901252826988,"[0, 1, 0, 0, 0]"
2022-06-10 20:00:00+00:00,2022-06-10 13:31:00+00:00,2022-06-10 20:00:00+00:00,-316794.23999999836,10608796.8,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 389.8}]",0,[],-0.028995446860838103,63.65055999870674,10925591.04,10925591.04,[],1,10608796.8,10608860.45056,0.0,63.65055999870674,0.0,10608796.8,10608796.8,0.0,0.999994000245333,0.999994000245333,2022-06,0.9999951043374614,0.0,0.0,0.0,0.06088604505599671,375,0.1717942241162249,0.3171716020357096,-0.18473460458809982,,,0.0,0.43103117720110246,"[0, 1, 0, 0, 0]"
2022-06-13 20:00:00+00:00,2022-06-13 13:31:00+00:00,2022-06-13 20:00:00+00:00,-402796.80000000075,10206000.0,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 375.0}]",0,[],-0.037967961014958695,63.65055999870674,10608796.8,10608796.8,[],1,10206000.0,10206063.650559999,0.0,63.65055999870674,0.0,10206000.0,10206000.0,0.0,0.9999937634564923,0.9999937634564923,2022-06,0.9999951043374614,0.0,0.0,0.0,0.02060636505599689,376,0.1743896356855025,0.16570205817353068,-0.2150038667109771,,,0.0,0.22225564424735875,"[0, 1, 0, 0, 0]"
2022-06-14 20:00:00+00:00,2022-06-14 13:31:00+00:00,2022-06-14 20:00:00+00:00,-30754.080000000075,10175245.92,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 373.87}]",0,[],-0.0030133145405488726,63.65055999870674,10206000.0,10206000.0,[],1,10175245.92,10175309.570559999,0.0,63.65055999870674,0.0,10175245.92,10175245.92,0.0,0.9999937446070257,0.9999937446070257,2022-06,0.9999951043374614,0.0,0.0,0.0,0.017530957055996943,377,0.17417635572067428,0.153900725346058,-0.21736930697369158,,,0.0,0.2064109269882678,"[0, 1, 0, 0, 0]"
2022-06-15 20:00:00+00:00,2022-06-15 13:31:00+00:00,2022-06-15 20:00:00+00:00,145061.27999999933,10320307.2,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 379.2}]",0,[],0.0142562031154021,63.65055999870674,10175245.92,10175245.92,[],1,10320307.2,10320370.850559998,0.0,63.65055999870674,0.0,10320307.2,10320307.2,0.0,0.9999938325317064,0.9999938325317064,2022-06,0.9999951043374614,0.0,0.0,0.0,0.03203708505599678,378,0.17432845665176316,0.20787821217772265,-0.21736930697369158,,,0.0,0.2794185928293072,"[0, 1, 0, 0, 0]"
2022-06-16 20:00:00+00:00,2022-06-16 13:31:00+00:00,2022-06-16 20:00:00+00:00,-341560.7999999989,9978746.4,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 366.65000000000003}]",0,[],-0.033095787442702695,63.65055999870674,10320307.2,10320307.2,[],1,9978746.4,9978810.05056,0.0,63.65055999870674,0.0,9978746.4,9978746.4,0.0,0.999993621427838,0.999993621427838,2022-06,0.9999951043374614,0.0,0.0,0.0,-0.0021189949440029165,379,0.17619491984682037,0.08023970246360285,-0.23248300493546,,,0.0,0.10685787084214053,"[0, 1, 0, 0, 0]"
2022-06-17 20:00:00+00:00,2022-06-17 13:31:00+00:00,2022-06-17 20:00:00+00:00,-21500.640000000596,9957245.76,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 365.86}]",0,[],-0.0021546296493332173,63.65055999870674,9978746.4,9978746.4,[],1,9957245.76,9957309.410559999,0.0,63.65055999870674,0.0,9957245.76,9957245.76,0.0,0.9999936076547012,0.9999936076547012,2022-06,0.9999951043374614,0.0,0.0,0.0,-0.004269058944002979,380,0.17597152852374132,0.07201030517745928,-0.23413671980939318,,,0.0,0.09589474023363365,"[0, 1, 0, 0, 0]"
